movie_id,actor_id,name,character,gender,order
15602,6837,Walter Matthau,Max Goldman,2,0
15602,3151,Jack Lemmon,John Gustafson,2,1
15602,13567,Ann-Margret,Ariel Gustafson,1,2
15602,16757,Sophia Loren,Maria Sophia Coletta Ragetti,1,3
15602,589,Daryl Hannah,Melanie Gustafson,1,4
15602,16523,Burgess Meredith,Grandpa Gustafson,2,5
15602,7166,Kevin Pollak,Jacob Goldman,2,6
11862,67773,Steve Martin,George Banks,2,0
11862,3092,Diane Keaton,Nina Banks,1,1
11862,519,Martin Short,Franck Eggelhoffer,2,2
11862,70696,Kimberly Williams-Paisley,Annie Banks-MacKenzie,1,3
11862,59222,George Newbern,Bryan MacKenzie,2,4
11862,18793,Kieran Culkin,Matty Banks,0,5
11862,14592,BD Wong,Howard Weinstein,2,6
11862,20906,Peter Michael Goetz,John MacKenzie,2,7
11862,54348,Kate McGregor-Stewart,Joanna MacKenzie,1,8
11862,209,Jane Adams,Dr. Megan Eisenberg,1,9
11862,26510,Eugene Levy,Mr. Habib,2,10
11862,24358,Lori Alan,Wife Mrs. Habib,1,11
45325,53283,Jonathan Taylor Thomas,Tom Sawyer,2,0
45325,51214,Brad Renfro,Huck Finn,2,1
45325,38581,Rachael Leigh Cook,Becky Thatcher,1,2
45325,8316,Michael McShane,Muff Potter,2,3
45325,87007,Amy Wright,Aunt Polly,1,4
45325,57448,Eric Schweig,Injun Joe,2,5
45325,102313,Tamara Mello,Townsperson,1,6
12110,7633,Leslie Nielsen,Count Dracula,2,0
12110,14639,Mel Brooks,Prof. Abraham Van Helsing,2,1
12110,1219,Amy Yasbeck,Mina Seward,1,2
12110,12688,Peter MacNicol,Thomas Renfield,2,3
12110,12812,Lysette Anthony,Lucy Westenra,1,4
12110,13640,Harvey Korman,Dr. Jack Seward,2,5
12110,6106,Steven Weber,Jonathan Harker,2,6
12110,29709,Mark Blankfield,Martin,2,7
12110,53570,Megan Cavanagh,Essie,1,8
12110,170185,Gregg Binkley,Woodbridge,2,9
12110,10774,Anne Bancroft,Madame Ouspenskaya,1,10
16420,2975,Laurence Fishburne,Othello,2,0
16420,1350,Irène Jacob,Desdemona,1,1
